location_id,parent_location_id
389983831,
212999109,389983831
413496092392921,389983831
217599,389983831
212941492,389983831
378453,389983831
279318698,389983831
1319949814693630,389983831
4599325,389983831
211529586,389983831
212988663,389983831
206698624,389983831
214796913,389983831
577012069320941,389983831
233182,389983831
1557847,389983831
228481964,389983831
507728227,389983831
373508206410352,212941492
590794973,4599325
215090193,212941492
3002271,212999109
213021590,206698624
213312396,206698624
215995209,389983831
450998068344841,389983831
212928653,389983831
218830373,389983831
1021460915,212988663
326645642,212988663
513469593,214796913
21503995,214796913
1018818068,389983831
1017154753,211529586
212970049,389983831
214228753,389983831
1806574296285140,389983831
306635449782304,228481964
226886754,228481964
455286339,228481964
229130041,228481964
213980369,228481964
2076702829271387,228481964
204690810309759,228481964
1015904272,228481964
402201522,228481964
619390,214796913
215770217,206698624
666764147018138,211529586
693546,389983831
267930,389983831
262702967628268,4599325
33099892,389983831
225958404618201,4599325
416950255331992,206698624
1032809640,206698624
1666408343442940,389983831
1903053516622372,212941492
429322851,212941492
268629,214796913
263404357651444,211529586
233491587418789,228481964
183949588978165,206698624
314732671,228481964
148899532341997,228481964
21944030,228481964
393904,228481964
1639313,212999109
1024654947,229130041
193464938143833,228481964
251364524,212928653
8945202,226886754
157109588551925,212970049
397668909,226886754
690840617736125,229130041
216325261,212988663
307603,226886754
489610318052827,212928653
658334407894314,213980369
217757667,226886754
635675800,229130041
234975583,229130041
4092400,213980369
721450684703001,214228753
1066202,214228753
214893456,215995209
879376982147378,214228753
213731026,389983831
1021593749,212941492
183663,228481964
176300243,212928653
1017873621,214228753
213344049,212928653
198311487686579,214228753
213762529,389983831
137242643,389983831
237788205,212999109
278577387,389983831
101654,4599325
476256415,389983831
1014330824,217757667
276844864,217757667
1553206,229130041
289105034,393904
278577816,217757667
42478,21944030
255561330,389983831
3353831,228481964
922631141137506,228481964
1003219673,211529586
213953436,214228753
214626362,389983831
364054252,389983831
1019168621,213731026
1031443779,213731026
298978180865324,213731026
2935360,213731026
1093732824003722,213731026
1818442,213731026
269236531,278577387
1019469725,278577387
43564042,278577387
227784218,278577387
685574479,278577387
117346005807359,183663
264476078,278577387
302488360,137242643
15834794,137242643
332850758,137242643
336791583397175,137242643
213381527,278577387
17365395,278577387
324332957,389983831
234750,389983831
84879,255561330
453687,255561330
640912441,255561330
213480180,389983831
205976226,389983831
213497913,389983831
239462703455216,389983831
1221461374551679,1003219673
232462517586303,1003219673
333572937220771,1003219673
241125,212928653
1379563585404952,228481964
916789731795528,214626362
214001058,389983831
2200849223484563,389983831
945400472224377,389983831
223049069,228481964
164580477561118,213381527
216807180,213381527
1548840,213381527
1027589365,43564042
376990352807605,213381527
912296,43564042
212901056,389983831
1360248974060179,389983831
280292246,389983831
248386531,389983831
357423537,212988663
2094513470831556,278577387
719533560,213480180
619641,213480180
1191441824276882,213480180
388581021324237,214626362
1009997177,213480180
218723464,213480180
236682262,389983831
224985206,389983831
219729488,389983831
216206369,389983831
305469,389983831
262938,229130041
242402988,214228753
45298889,212928653
670534699773505,214001058
509661310,214001058
674112462971914,389983831
6845,389983831
1847103442205044,213480180
176867416478001,223049069
1235324,212970049
2935916,214001058
1020680084,211529586
84405,213480180
1033702975,389983831
284373,389983831
221377771,212988663
22312252,212901056
936765166503453,212988663
69195,213731026
1957760,212901056
1783314535279046,248386531
270171856,216206369
160851598199271,224985206
1008542,216206369
1519155124810882,236682262
1019603549,236682262
216052817,278577387
950948298,278577387
2191714214407530,212901056
287507687,389983831
212903277,389983831
926237991,212901056
46290541,213480180
1096708913837866,212928653
255213186,389983831
292802,389983831
213361984,389983831
186741,211529586
47882678,212901056
604154,137242643
31429562,255561330
1762942094024206,255561330
1026703916,389983831
3002869,389983831
1668821883133952,389983831
10542526,216052817
223747434624031,216052817
240967498,278577387
220677972,287507687
213984944,287507687
10155568,287507687
214776536,287507687
213141085,287507687
886435283,389983831
255700994,389983831
204517928,389983831
252199390,389983831
95099702,212901056
628638977,278577387
256898963,186741
101735518,212901056
213968758,389983831
385710,228481964
594890155,212941492
1017594005,220677972
280971339,212941492
66186,213984944
215109629,213984944
245905931,213984944
8051939,10155568
726410324219746,389983831
298839670460357,216052817
343580,287507687
3001373,389983831
186001372312128,389983831
216329080,255561330
1024936088,213480180
213124046,389983831
1672251909670224,389983831
220882345,389983831
219485710,213141085
452479108,213141085
221309413,886435283
505179821,389983831
262080624,204517928
217373176,255700994
275829673045035,212928653
1025477450,212928653
383155718739822,255561330
365996,212999109
215262556,228481964
18714141,389983831
54779960819,389983831
4773571,214001058
212947533,389983831
184266279119344,10155568
212900916,389983831
271203798,204517928
354282062,212988663
217288063,389983831
690106296,389983831
220148870,389983831
821700631,252199390
949171661943906,213968758
83868,213968758
151218955566244,385710
1025805012,385710
213536224,213480180
406803,505179821
505730449787350,505179821
531347673869510,220882345
854471348021874,220882345
523486691,505179821
1834174143518120,505179821
1666922033421637,262080624
213597,505179821
283134199,213124046
803797,262080624
366825,213124046
212983635,389983831
2678028,213124046
3000033,213124046
1756998851244754,217373176
251028997,389983831
1031551512,217373176
482545,215262556
2275566,217373176
288420615,215262556
1915489,212999109
921832006,212900916
719678995,229130041
191138801786764,212947533
862898564,212947533
216287675,255700994
737960304,505179821
222764158,389983831
723906654651318,389983831
384173,255561330
1026781680,287507687
239465712,212947533
240169680118012,217288063
259303087,217288063
218155685,213141085
228089317,389983831
828449092,389983831
218716434,389983831
1495,523486691
474416501,523486691
10936,212983635
14393,523486691
119764,523486691
1284104,523486691
607692563,523486691
184033,212983635
174309109863914,212941492
213953267,222764158
878519078,222764158
213643536,222764158
1034535027,222764158
213320666,222764158
16869196,222764158
238904259,220677972
2131758496844122,389983831
213859735,389983831
215420551,389983831
1633058416705294,389983831
213213692,389983831
2080865298848369,389983831
323005774,222764158
213873866,255700994
124529628374336,204517928
9466,206698624
130142,212983635
54219314,212901056
213279008,389983831
269587019,204517928
214843582,389983831
212923412,389983831
221271184,255700994
65756,213124046
10324,216052817
279442519191902,222764158
732680293583538,212947533
11589854,204517928
267951880,212901056
1026469794,505179821
962569240543798,211529586
343468306395744,212928653
1482316,206698624
35958,212901056
82215,389983831
288395820,389983831
213387672,255700994
75588258,255700994
531320003978711,389983831
5568098,389983831
435614336920831,389983831
3001119,212947533
776805589155605,212928653
879969018,213480180
599788925,523486691
578384098992573,389983831
273705274,389983831
200345860362323,228089317
170479993625774,228089317
92150,212947533
236184966,212941492
3741103,389983831
253425914,389983831
787502191,505179821
1023266771155046,212947533
217046368,389983831
372278346449907,389983831
1018318478,4599325
464815,211529586
79127121,213124046
2937834,255700994
1011257399,255700994
289888474744891,212941492
2179559912285744,213141085
214338801,212941492
1711208798927948,255700994
213997539,255700994
39442131319,212988663
68818,211529586
866760,389983831
1380301918743593,218716434
945726958929036,213213692
711560846,213953267
2170629163178000,218716434
13210425,218716434
709392706097237,213213692
2603894366502853,213953267
5082004,213953267
239069253,213387672
805750905,221271184
221895998558984,213213692
447368,213387672
1029635651,214843582
11333015,221271184
32047828,214843582
